#time	V(vd)	V(vin)
#vin e vd con forma d onda seno a 100Hz
1.934085535850109e-002	-5.656366e-001	-4.033432e+000
1.946222812635824e-002	-4.648831e-001	-3.314991e+000
1.952919241207253e-002	-4.085637e-001	-2.913397e+000
1.959615669778682e-002	-3.517752e-001	-2.508456e+000
1.966312098350111e-002	-2.945174e-001	-2.100168e+000
1.973008526921539e-002	-2.367904e-001	-1.688532e+000
1.979704955492968e-002	-1.785941e-001	-1.273549e+000
1.986401384064397e-002	-1.199286e-001	-8.552191e-001
1.993097812635826e-002	-6.079393e-002	-4.335413e-001
2.001886875135826e-002	1.662164e-002	1.185531e-001
2.007746250135827e-002	6.820123e-002	4.865191e-001
2.010675937635827e-002	9.394675e-002	6.702860e-001
2.013605625135827e-002	1.196418e-001	8.538258e-001
2.016535312635827e-002	1.452646e-001	1.037076e+000
2.019465000135827e-002	1.707838e-001	1.219975e+000
2.022394687635827e-002	1.961534e-001	1.402461e+000
2.025324375135827e-002	2.213031e-001	1.584472e+000
2.028254062635827e-002	2.461256e-001	1.765945e+000
2.031183750135827e-002	2.704611e-001	1.946820e+000
2.034113437635828e-002	2.940831e-001	2.127036e+000
2.037043125135828e-002	3.166985e-001	2.306531e+000
2.039972812635828e-002	3.379733e-001	2.485244e+000
2.042902500135828e-002	3.575918e-001	2.663116e+000
2.045832187635828e-002	3.753293e-001	2.840084e+000
2.048761875135828e-002	3.911022e-001	3.016091e+000
2.051691562635828e-002	4.049712e-001	3.191076e+000
2.054621250135828e-002	4.171017e-001	3.364979e+000
2.057550937635828e-002	4.277099e-001	3.537742e+000
2.060480625135829e-002	4.370191e-001	3.709307e+000
2.063410312635829e-002	4.452337e-001	3.879614e+000
2.069269687635829e-002	4.590537e-001	4.216228e+000
2.078058750135829e-002	4.750864e-001	4.710296e+000
2.083499598350115e-002	4.826581e-001	5.009871e+000
2.088940446564401e-002	4.895504e-001	5.302759e+000
2.094381294778687e-002	4.957633e-001	5.588961e+000
2.099822142992973e-002	5.012967e-001	5.868475e+000
2.105262991207259e-002	5.061506e-001	6.141303e+000
2.110703839421545e-002	5.103252e-001	6.407443e+000
2.116144687635831e-002	5.138202e-001	6.666897e+000
2.127444910850117e-002	5.202099e-001	7.184064e+000
2.138745134064403e-002	5.258463e-001	7.659658e+000
2.150045357278689e-002	5.307296e-001	8.093679e+000
2.161345580492975e-002	5.348598e-001	8.486128e+000
2.172645803707261e-002	5.382367e-001	8.837004e+000
2.183946026921547e-002	5.408606e-001	9.146307e+000
2.195246250135834e-002	5.427312e-001	9.414038e+000
2.216172589421549e-002	5.456479e-001	9.771795e+000
2.237098928707264e-002	5.471630e-001	9.961275e+000
2.258025267992979e-002	5.472764e-001	9.982478e+000
2.278951607278694e-002	5.459881e-001	9.835404e+000
2.299877946564409e-002	5.432982e-001	9.520052e+000
2.320804285850124e-002	5.392066e-001	9.036423e+000
2.341730625135839e-002	5.337133e-001	8.384517e+000
2.350519687635840e-002	5.309454e-001	8.068088e+000
2.359308750135840e-002	5.274108e-001	7.729835e+000
2.368097812635840e-002	5.231093e-001	7.369760e+000
2.376886875135841e-002	5.180410e-001	6.987861e+000
2.385675937635841e-002	5.122060e-001	6.584139e+000
2.394465000135841e-002	5.056041e-001	6.158594e+000
2.403254062635842e-002	4.982355e-001	5.711225e+000
2.407020803707270e-002	4.946058e-001	5.515084e+000
2.410787544778699e-002	4.904293e-001	5.316137e+000
2.414554285850128e-002	4.857061e-001	5.114384e+000
2.418321026921556e-002	4.804360e-001	4.909825e+000
2.422087767992985e-002	4.746193e-001	4.702460e+000
2.425854509064414e-002	4.682558e-001	4.492290e+000
2.429621250135843e-002	4.613455e-001	4.279314e+000
2.435480625135843e-002	4.480912e-001	3.943746e+000
2.438410312635843e-002	4.402421e-001	3.773929e+000
2.441340000135843e-002	4.313684e-001	3.602834e+000
2.444269687635843e-002	4.212766e-001	3.430517e+000
2.447199375135843e-002	4.097493e-001	3.257039e+000
2.450129062635843e-002	3.965640e-001	3.082457e+000
2.453058750135843e-002	3.815294e-001	2.906830e+000
2.455988437635844e-002	3.645374e-001	2.730218e+000
2.458918125135844e-002	3.456130e-001	2.552681e+000
2.461847812635844e-002	3.249310e-001	2.374280e+000
2.464777500135844e-002	3.027821e-001	2.195074e+000
2.467707187635844e-002	2.795026e-001	2.015124e+000
2.470636875135844e-002	2.554063e-001	1.834491e+000
2.473566562635844e-002	2.307458e-001	1.653237e+000
2.476496250135844e-002	2.057047e-001	1.471422e+000
2.479425937635844e-002	1.804084e-001	1.289109e+000
2.482355625135845e-002	1.549394e-001	1.106359e+000
2.485285312635845e-002	1.293515e-001	9.232345e-001
2.488215000135845e-002	1.036809e-001	7.397969e-001
2.491144687635845e-002	7.795225e-002	5.561087e-001
2.497004062635845e-002	2.639021e-002	1.882292e-001
2.505793125135845e-002	-5.102978e-002	-3.639124e-001
2.512489553707274e-002	-1.101896e-001	-7.857709e-001
2.519185982278703e-002	-1.688972e-001	-1.204403e+000
2.525882410850132e-002	-2.271526e-001	-1.619808e+000
2.532578839421561e-002	-2.849558e-001	-2.031988e+000
2.539275267992990e-002	-3.423067e-001	-2.440940e+000
2.545971696564418e-002	-3.992055e-001	-2.846667e+000
2.552668125135847e-002	-4.556520e-001	-3.249166e+000
2.564805401921562e-002	-5.566825e-001	-3.969583e+000
2.576942678707277e-002	-6.531535e-001	-4.657488e+000
2.589079955492991e-002	-7.450650e-001	-5.312880e+000
2.601217232278706e-002	-8.324170e-001	-5.935759e+000
2.613354509064421e-002	-9.152095e-001	-6.526127e+000
2.625491785850136e-002	-9.934425e-001	-7.083981e+000
2.637629062635850e-002	-1.067116e+000	-7.609324e+000
2.662322142992994e-002	-1.197873e+000	-8.541710e+000
2.687015223350138e-002	-1.296245e+000	-9.243171e+000
2.711708303707282e-002	-1.362233e+000	-9.713708e+000
2.736401384064426e-002	-1.395835e+000	-9.953319e+000
2.761094464421569e-002	-1.397054e+000	-9.962006e+000
2.785787544778713e-002	-1.365887e+000	-9.739768e+000
2.810480625135857e-002	-1.302336e+000	-9.286606e+000
2.825129062635857e-002	-1.247348e+000	-8.894503e+000
2.839777500135858e-002	-1.183380e+000	-8.438364e+000
2.854425937635859e-002	-1.110431e+000	-7.918188e+000
2.869074375135859e-002	-1.028501e+000	-7.333975e+000
2.883722812635860e-002	-9.375915e-001	-6.685726e+000
2.898371250135860e-002	-8.377012e-001	-5.973440e+000
2.913019687635861e-002	-7.288305e-001	-5.197117e+000
2.917623482278718e-002	-6.937970e-001	-4.947304e+000
2.922227276921575e-002	-6.582585e-001	-4.693890e+000
2.926831071564433e-002	-6.222152e-001	-4.436876e+000
2.931434866207290e-002	-5.856669e-001	-4.176262e+000
2.936038660850147e-002	-5.486137e-001	-3.912048e+000
2.940642455493005e-002	-5.110557e-001	-3.644233e+000
2.945246250135862e-002	-4.729927e-001	-3.372818e+000
2.948175937635862e-002	-4.486117e-001	-3.198964e+000
2.954453839421577e-002	-3.956550e-001	-2.821348e+000
2.960731741207291e-002	-3.422922e-001	-2.440836e+000
2.967009642993006e-002	-2.885236e-001	-2.057427e+000
2.973287544778720e-002	-2.343489e-001	-1.671123e+000
2.979565446564435e-002	-1.797683e-001	-1.281923e+000
2.985843348350149e-002	-1.247817e-001	-8.898265e-001
2.992121250135864e-002	-6.938922e-002	-4.948343e-001
2.997980625135864e-002	-1.779133e-002	-1.268777e-001
3.000000000000000e-002	1.622047e-014	-7.347880e-015
