time	V(a)	V(b)	V(out)
1.321393920820646e-004	1.220966e+001	6.089432e+000	3.009321e+000
1.331159545820646e-004	1.205544e+001	6.012702e+000	3.009321e+000
1.340925170820646e-004	1.188531e+001	5.928060e+000	3.009321e+000
1.350690795820646e-004	1.169992e+001	5.835826e+000	3.009321e+000
1.360456420820646e-004	1.149997e+001	5.736348e+000	3.009321e+000
1.370222045820646e-004	1.128621e+001	5.630001e+000	3.009321e+000
1.379987670820646e-004	1.105945e+001	5.517186e+000	3.009321e+000
1.389753295820646e-004	1.082055e+001	5.398329e+000	3.009321e+000
1.399518920820646e-004	1.057040e+001	5.273879e+000	3.009321e+000
1.409284545820646e-004	1.030996e+001	5.144304e+000	3.009321e+000
1.428815795820646e-004	9.762130e+000	4.871753e+000	3.009321e+000
1.448347045820646e-004	9.185322e+000	4.584784e+000	3.009321e+000
1.467878295820646e-004	8.588223e+000	4.287720e+000	3.009321e+000
1.477643920820646e-004	8.284868e+000	4.136797e+000	3.009321e+000
1.487409545820646e-004	7.979831e+000	3.985037e+000	3.009321e+000
1.506940795820646e-004	7.369309e+000	3.681295e+000	3.009321e+000
1.526472045820646e-004	6.765857e+000	3.381070e+000	3.009321e+000
1.536237670820646e-004	6.469630e+000	3.233693e+000	3.009321e+000
1.546003295820646e-004	6.178564e+000	3.088805e+000	2.993481e+000
1.555768920820646e-004	5.893756e+000	2.946779e+000	2.927083e+000
1.565534545820646e-004	5.616278e+000	2.808139e+000	2.808139e+000
1.585065795820646e-004	5.087468e+000	2.543734e+000	2.543734e+000
1.604597045820646e-004	4.600100e+000	2.300050e+000	2.300050e+000
1.624128295820646e-004	4.161520e+000	2.080760e+000	2.080760e+000
1.643659545820646e-004	3.778341e+000	1.889170e+000	1.889170e+000
1.663190795820646e-004	3.456338e+000	1.728169e+000	1.728169e+000
1.672956420820646e-004	3.319835e+000	1.659917e+000	1.659917e+000
1.682722045820646e-004	3.200371e+000	1.600185e+000	1.600185e+000
1.692487670820646e-004	3.098398e+000	1.549199e+000	1.549199e+000
1.702253295820646e-004	3.014303e+000	1.507151e+000	1.507151e+000
1.712018920820646e-004	2.948402e+000	1.474201e+000	1.474201e+000
1.721784545820646e-004	2.900947e+000	1.450473e+000	1.450474e+000
1.731550170820646e-004	2.872117e+000	1.436058e+000	1.436058e+000
1.741315795820646e-004	2.862022e+000	1.431011e+000	1.431011e+000
1.751081420820646e-004	2.870703e+000	1.435352e+000	1.435352e+000
1.760847045820646e-004	2.898129e+000	1.449064e+000	1.449064e+000
1.770612670820646e-004	2.944197e+000	1.472098e+000	1.472098e+000
1.780378295820646e-004	3.008737e+000	1.504368e+000	1.504368e+000
1.790143920820646e-004	3.091506e+000	1.545753e+000	1.545753e+000
1.799909545820646e-004	3.192197e+000	1.596098e+000	1.596098e+000
1.809675170820646e-004	3.310430e+000	1.655215e+000	1.655215e+000
1.829206420820646e-004	3.597688e+000	1.798844e+000	1.798844e+000
1.848737670820646e-004	3.948975e+000	1.974487e+000	1.974487e+000
1.868268920820646e-004	4.359019e+000	2.179510e+000	2.179510e+000
1.887800170820646e-004	4.821668e+000	2.410834e+000	2.410834e+000
1.907331420820646e-004	5.329974e+000	2.664987e+000	2.664987e+000
1.917097045820646e-004	5.598888e+000	2.799444e+000	2.799444e+000
1.926862670820646e-004	5.876308e+000	2.938066e+000	2.920536e+000
1.936628295820646e-004	6.161190e+000	3.080150e+000	2.991296e+000
1.946393920820646e-004	6.452462e+000	3.225152e+000	3.009321e+000
1.956159545820646e-004	6.749031e+000	3.372698e+000	3.009321e+000
1.975690795820646e-004	7.353581e+000	3.673470e+000	3.009321e+000
1.995222045820646e-004	7.965761e+000	3.978037e+000	3.009321e+000
2.004987670820646e-004	8.271839e+000	4.130315e+000	3.009321e+000
2.024518920820646e-004	8.878224e+000	4.431999e+000	3.009321e+000
2.044050170820646e-004	9.469338e+000	4.726085e+000	3.009321e+000
2.063581420820646e-004	1.003630e+001	5.008157e+000	3.009321e+000
2.073347045820646e-004	1.030805e+001	5.143355e+000	3.009321e+000
2.083112670820646e-004	1.057060e+001	5.273978e+000	3.009321e+000
2.092878295820646e-004	1.082297e+001	5.399536e+000	3.009321e+000
2.102643920820646e-004	1.106421e+001	5.519556e+000	3.009321e+000
2.112409545820646e-004	1.129342e+001	5.633588e+000	3.009321e+000
2.122175170820646e-004	1.150972e+001	5.741202e+000	3.009321e+000
2.131940795820646e-004	1.171232e+001	5.841997e+000	3.009321e+000
2.141706420820647e-004	1.190044e+001	5.935591e+000	3.009321e+000
2.151472045820647e-004	1.207339e+001	6.021635e+000	3.009321e+000
2.161237670820647e-004	1.223051e+001	6.099803e+000	3.009321e+000
2.171003295820647e-004	1.237121e+001	6.169805e+000	3.009321e+000
2.180768920820647e-004	1.249497e+001	6.231376e+000	3.009321e+000
2.190534545820647e-004	1.260132e+001	6.284285e+000	3.009321e+000
2.200300170820647e-004	1.268986e+001	6.328335e+000	3.009321e+000
2.210065795820647e-004	1.276026e+001	6.363359e+000	3.009321e+000
2.219831420820647e-004	1.281226e+001	6.389228e+000	3.009321e+000
2.229597045820647e-004	1.284566e+001	6.405845e+000	3.009321e+000
2.239362670820647e-004	1.286033e+001	6.413146e+000	3.009321e+000
2.249128295820647e-004	1.285623e+001	6.411107e+000	3.009321e+000
2.258893920820647e-004	1.283337e+001	6.399735e+000	3.009321e+000
2.268659545820647e-004	1.279185e+001	6.379074e+000	3.009321e+000
2.278425170820647e-004	1.273180e+001	6.349202e+000	3.009321e+000
2.288190795820647e-004	1.265347e+001	6.310233e+000	3.009321e+000
2.297956420820647e-004	1.255716e+001	6.262313e+000	3.009321e+000
2.307722045820647e-004	1.244321e+001	6.205624e+000	3.009321e+000
2.317487670820647e-004	1.231207e+001	6.140380e+000	3.009321e+000
2.327253295820647e-004	1.216423e+001	6.066828e+000	3.009321e+000
2.337018920820647e-004	1.200025e+001	5.985244e+000	3.009321e+000
2.346784545820647e-004	1.182074e+001	5.895937e+000	3.009321e+000
2.356550170820647e-004	1.162639e+001	5.799243e+000	3.009321e+000
2.366315795820647e-004	1.141792e+001	5.695527e+000	3.009321e+000
2.376081420820647e-004	1.119612e+001	5.585181e+000	3.009321e+000
2.385847045820647e-004	1.096183e+001	5.468619e+000	3.009321e+000
2.395612670820647e-004	1.071593e+001	5.346282e+000	3.009321e+000
2.405378295820647e-004	1.045936e+001	5.218631e+000	3.009321e+000
2.424909545820647e-004	9.918057e+000	4.949328e+000	3.009321e+000
