time	V(a)	V(b)	V(out)	V(n002)
1.155378124922209e-004	1.209017e+001	6.029716e+000	2.955944e+000	4.142068e+000
1.165143749922209e-004	1.224094e+001	6.104732e+000	2.957065e+000	4.306007e+000
1.174909374922209e-004	1.237507e+001	6.171470e+000	2.958041e+000	4.453739e+000
1.184674999922209e-004	1.249207e+001	6.229680e+000	2.958876e+000	4.584709e+000
1.194440624922209e-004	1.259148e+001	6.279144e+000	2.959575e+000	4.698422e+000
1.204206249922209e-004	1.267295e+001	6.319678e+000	2.960140e+000	4.794452e+000
1.213971874922209e-004	1.273617e+001	6.351130e+000	2.960573e+000	4.872436e+000
1.223737499922209e-004	1.278089e+001	6.373382e+000	2.960877e+000	4.932082e+000
1.233503124922209e-004	1.280696e+001	6.386352e+000	2.961054e+000	4.973164e+000
1.243268749922209e-004	1.281427e+001	6.389991e+000	2.961103e+000	4.995529e+000
1.253034374922209e-004	1.280281e+001	6.384287e+000	2.961026e+000	4.999091e+000
1.262799999922209e-004	1.277261e+001	6.369263e+000	2.960821e+000	4.983839e+000
1.272565624922209e-004	1.272380e+001	6.344976e+000	2.960489e+000	4.949827e+000
1.282331249922209e-004	1.265655e+001	6.311520e+000	2.960026e+000	4.897186e+000
1.292096874922209e-004	1.257113e+001	6.269019e+000	2.959433e+000	4.826113e+000
1.301862499922209e-004	1.246786e+001	6.217635e+000	2.958704e+000	4.736876e+000
1.311628124922209e-004	1.234713e+001	6.157564e+000	2.957839e+000	4.629810e+000
1.321393749922209e-004	1.220938e+001	6.089031e+000	2.956833e+000	4.505319e+000
1.331159374922209e-004	1.205516e+001	6.012296e+000	2.955680e+000	4.363871e+000
1.340924999922209e-004	1.188503e+001	5.927648e+000	2.954375e+000	4.205997e+000
1.350690624922209e-004	1.169964e+001	5.835406e+000	2.952911e+000	4.032294e+000
1.360456249922209e-004	1.149969e+001	5.735920e+000	2.951281e+000	3.843414e+000
