#v1	V(vd)	Vvd
#simulazione con valori ricavati da analisi circuito 1 con generatore in dc da 0 a 10 Volt
#si trova la v_on con doppio fit
3.62999999999997	0.4348071	434.8071
3.63999999999997	0.4353314	435.3314
3.64999999999997	0.435852	435.852
3.65999999999997	0.4363691	436.3691
3.66999999999997	0.4368825	436.8825
3.67999999999997	0.4373924	437.3924
3.68999999999996	0.4378988	437.8988
3.69999999999996	0.4384017	438.4017
3.70999999999996	0.4389011	438.9011
3.71999999999996	0.4393972	439.3972
3.72999999999996	0.4398898	439.8898
3.73999999999996	0.4403792	440.3792
3.74999999999996	0.4408652	440.8652
3.75999999999996	0.4413479	441.3479
3.76999999999996	0.4418274	441.8274
3.77999999999996	0.4423037	442.3037
3.78999999999996	0.4427768	442.7768
3.79999999999996	0.4432467	443.2467
3.80999999999996	0.4437135	443.7135
3.81999999999996	0.4441773	444.1773
3.82999999999996	0.444638	444.638
3.83999999999996	0.4450957	445.0957
3.84999999999996	0.4455503	445.5503
3.85999999999996	0.446002	446.002
3.86999999999996	0.4464508	446.4508
3.87999999999996	0.4468967	446.8967
3.88999999999996	0.4473397	447.3397
3.89999999999996	0.4477798	447.7798
3.90999999999996	0.4482171	448.2171
3.91999999999996	0.4486516	448.6516
3.92999999999996	0.4490834	449.0834
3.93999999999996	0.4495124	449.5124
3.94999999999996	0.4499387	449.9387
3.95999999999996	0.4503623	450.3623
3.96999999999996	0.4507833	450.7833
3.97999999999996	0.4512016	451.2016
3.98999999999996	0.4516174	451.6174
3.99999999999996	0.4520305	452.0305
4.00999999999996	0.4524411	452.4411
4.01999999999996	0.4528492	452.8492
4.02999999999996	0.4532548	453.2548
4.03999999999996	0.4536579	453.6579
4.04999999999996	0.4540585	454.0585
4.05999999999996	0.4544567	454.4567
4.06999999999996	0.4548525	454.8525
4.07999999999996	0.4552459	455.2459
4.08999999999996	0.4556369	455.6369
4.09999999999996	0.4560256	456.0256
4.10999999999996	0.456412	456.412
4.11999999999996	0.4567961	456.7961
4.12999999999996	0.457178	457.178
4.13999999999996	0.4575575	457.5575
4.14999999999996	0.4579349	457.9349
4.15999999999996	0.45831	458.31
4.16999999999996	0.458683	458.683
4.17999999999996	0.4590538	459.0538
4.18999999999996	0.4594224	459.4224
4.19999999999996	0.4597889	459.7889
4.20999999999995	0.4601534	460.1534
4.21999999999996	0.4605157	460.5157
4.22999999999995	0.460876	460.876
4.23999999999995	0.4612342	461.2342
4.24999999999995	0.4615904	461.5904
4.25999999999995	0.4619446	461.9446
4.26999999999995	0.4622968	462.2968
4.27999999999995	0.4626471	462.6471
4.28999999999995	0.4629954	462.9954
4.29999999999995	0.4633417	463.3417
4.30999999999995	0.4636861	463.6861
4.31999999999995	0.4640287	464.0287
4.32999999999995	0.4643694	464.3694
4.33999999999995	0.4647081	464.7081
4.34999999999995	0.4650451	465.0451
4.35999999999995	0.4653803	465.3803
4.36999999999995	0.4657136	465.7136
4.37999999999995	0.4660451	466.0451
4.38999999999995	0.4663748	466.3748
4.39999999999995	0.4667028	466.7028
4.40999999999995	0.467029	467.029
4.41999999999995	0.4673535	467.3535
4.42999999999995	0.4676763	467.6763
4.43999999999995	0.4679974	467.9974
4.44999999999995	0.4683168	468.3168
4.45999999999995	0.4686345	468.6345
4.46999999999995	0.4689506	468.9506
4.47999999999995	0.4692651	469.2651
4.48999999999995	0.4695779	469.5779
4.49999999999995	0.4698891	469.8891
4.50999999999995	0.4701987	470.1987
4.51999999999995	0.4705067	470.5067
4.52999999999995	0.4708132	470.8132
4.53999999999995	0.4711181	471.1181
4.54999999999995	0.4714214	471.4214
4.55999999999995	0.4717233	471.7233
4.56999999999995	0.4720235	472.0235
4.57999999999995	0.4723224	472.3224
4.58999999999995	0.4726197	472.6197
4.59999999999995	0.4729155	472.9155
4.60999999999995	0.4732099	473.2099
4.61999999999995	0.4735028	473.5028
4.62999999999995	0.4737943	473.7943
4.63999999999995	0.4740844	474.0844
4.64999999999995	0.4743731	474.3731
4.65999999999995	0.4746603	474.6603
4.66999999999995	0.4749462	474.9462
4.67999999999994	0.4752307	475.2307
4.68999999999994	0.4755138	475.5138
4.69999999999994	0.4757955	475.7955
4.70999999999994	0.4760759	476.0759
4.71999999999994	0.476355	476.355
