v1	V(vd)
1.190000000000001e+000	1.684455e-001
1.200000000000001e+000	1.698548e-001
1.210000000000001e+000	1.712638e-001
1.220000000000001e+000	1.726726e-001
1.230000000000001e+000	1.740811e-001
1.240000000000001e+000	1.754893e-001
1.250000000000001e+000	1.768972e-001
1.260000000000001e+000	1.783048e-001
1.270000000000001e+000	1.797122e-001
1.280000000000001e+000	1.811192e-001
1.290000000000001e+000	1.825259e-001
1.300000000000001e+000	1.839322e-001
1.310000000000001e+000	1.853382e-001
1.320000000000001e+000	1.867439e-001
1.330000000000001e+000	1.881492e-001
1.340000000000001e+000	1.895541e-001
1.350000000000001e+000	1.909586e-001
1.360000000000001e+000	1.923627e-001
1.370000000000001e+000	1.937664e-001
1.380000000000001e+000	1.951697e-001
1.390000000000001e+000	1.965726e-001
1.400000000000001e+000	1.979750e-001
1.410000000000001e+000	1.993770e-001
1.420000000000001e+000	2.007785e-001
1.430000000000001e+000	2.021795e-001
1.440000000000001e+000	2.035800e-001
1.450000000000001e+000	2.049799e-001
1.460000000000001e+000	2.063794e-001
1.470000000000001e+000	2.077783e-001
1.480000000000001e+000	2.091766e-001
1.490000000000001e+000	2.105744e-001
1.500000000000001e+000	2.119716e-001
1.510000000000001e+000	2.133682e-001
1.520000000000001e+000	2.147641e-001
1.530000000000001e+000	2.161594e-001
1.540000000000001e+000	2.175540e-001
1.550000000000001e+000	2.189479e-001
1.560000000000001e+000	2.203412e-001
1.570000000000001e+000	2.217337e-001
1.580000000000001e+000	2.231255e-001
1.590000000000001e+000	2.245165e-001
1.600000000000001e+000	2.259067e-001
1.610000000000001e+000	2.272961e-001
1.620000000000001e+000	2.286847e-001
1.630000000000001e+000	2.300724e-001
1.640000000000001e+000	2.314592e-001
1.650000000000001e+000	2.328452e-001
1.660000000000001e+000	2.342302e-001
1.670000000000001e+000	2.356142e-001
1.680000000000001e+000	2.369973e-001
1.690000000000001e+000	2.383794e-001
1.700000000000001e+000	2.397604e-001
1.710000000000001e+000	2.411404e-001
1.720000000000001e+000	2.425192e-001
1.730000000000001e+000	2.438970e-001
1.740000000000001e+000	2.452736e-001
1.750000000000001e+000	2.466490e-001
1.760000000000001e+000	2.480232e-001
1.770000000000001e+000	2.493961e-001
1.780000000000001e+000	2.507678e-001
1.790000000000001e+000	2.521382e-001
1.800000000000001e+000	2.535072e-001
1.810000000000001e+000	2.548748e-001
1.820000000000001e+000	2.562410e-001
1.830000000000001e+000	2.576057e-001
1.840000000000001e+000	2.589689e-001
1.850000000000001e+000	2.603306e-001
1.860000000000001e+000	2.616907e-001
1.870000000000001e+000	2.630492e-001
1.880000000000001e+000	2.644061e-001
1.890000000000002e+000	2.657612e-001
1.900000000000002e+000	2.671146e-001
1.910000000000002e+000	2.684662e-001
1.920000000000002e+000	2.698160e-001
1.930000000000002e+000	2.711639e-001
1.940000000000002e+000	2.725099e-001
1.950000000000002e+000	2.738539e-001
