time	V(vd)
1.454035312635812e-002	3.787457e-001
1.456965000135812e-002	3.612802e-001
1.459894687635812e-002	3.418559e-001
1.462824375135812e-002	3.206753e-001
1.465754062635812e-002	2.980518e-001
1.468683750135812e-002	2.743337e-001
1.471613437635812e-002	2.498358e-001
1.474543125135812e-002	2.248053e-001
1.477472812635811e-002	1.994187e-001
1.480402500135811e-002	1.737945e-001
1.483332187635811e-002	1.480100e-001
1.486261875135811e-002	1.221157e-001
1.489191562635811e-002	9.614521e-002
1.492121250135811e-002	7.012189e-002
1.497980625135811e-002	1.798261e-002
1.500491785850097e-002	-4.395294e-003
1.503002946564382e-002	-2.675888e-002
1.505514107278668e-002	-4.910814e-002
1.508025267992954e-002	-7.144309e-002
1.510536428707239e-002	-9.376372e-002
1.513047589421525e-002	-1.160700e-001
1.515558750135811e-002	-1.383620e-001
1.523929285850096e-002	-2.128385e-001
1.532299821564382e-002	-2.862279e-001
1.540670357278668e-002	-3.585303e-001
1.549040892992953e-002	-4.297455e-001
1.557411428707239e-002	-4.998737e-001
1.565781964421524e-002	-5.689149e-001
1.574152500135810e-002	-6.368690e-001
1.587963884064382e-002	-7.459612e-001
1.601775267992954e-002	-8.476893e-001
1.615586651921526e-002	-9.420531e-001
1.629398035850098e-002	-1.029053e+000
1.643209419778670e-002	-1.108688e+000
1.657020803707242e-002	-1.180960e+000
1.670832187635814e-002	-1.245867e+000
1.698036428707243e-002	-1.342372e+000
1.725240669778673e-002	-1.399054e+000
1.752444910850103e-002	-1.415915e+000
1.779649151921532e-002	-1.392953e+000
1.806853392992962e-002	-1.330168e+000
1.834057634064391e-002	-1.227562e+000
1.861261875135821e-002	-1.085133e+000
1.873399151921536e-002	-1.011218e+000
1.885536428707250e-002	-9.326478e-001
1.897673705492965e-002	-8.494210e-001
1.909810982278680e-002	-7.615379e-001
1.921948259064395e-002	-6.689986e-001
1.934085535850109e-002	-5.718029e-001
1.946222812635824e-002	-4.699510e-001
1.952919241207253e-002	-4.130177e-001
1.959615669778682e-002	-3.556100e-001
1.966312098350111e-002	-2.977280e-001
1.973008526921539e-002	-2.393717e-001
1.979704955492968e-002	-1.805410e-001
1.986401384064397e-002	-1.212360e-001
1.993097812635826e-002	-6.145663e-002
2.001886875135826e-002	1.680276e-002
2.007746250135827e-002	6.894400e-002
2.010675937635827e-002	9.496926e-002
2.013605625135827e-002	1.209426e-001
2.016535312635827e-002	1.468410e-001
2.019465000135827e-002	1.726313e-001
2.022394687635827e-002	1.982642e-001
2.025324375135827e-002	2.236637e-001
2.028254062635827e-002	2.487134e-001
2.031183750135827e-002	2.732398e-001
2.034113437635828e-002	2.969987e-001
2.037043125135828e-002	3.196779e-001
2.039972812635828e-002	3.409304e-001
2.042902500135828e-002	3.604407e-001
2.045832187635828e-002	3.780003e-001
2.048761875135828e-002	3.935528e-001
2.051691562635828e-002	4.071868e-001
2.054621250135828e-002	4.190892e-001
2.057550937635828e-002	4.294884e-001
2.060480625135829e-002	4.386123e-001
2.063410312635829e-002	4.466656e-001
2.069269687635829e-002	4.602262e-001
2.078058750135829e-002	4.759868e-001
2.083499598350115e-002	4.834479e-001
2.088940446564401e-002	4.902428e-001
2.094381294778687e-002	4.963717e-001
2.099822142992973e-002	5.018344e-001
2.105262991207259e-002	5.066310e-001
2.110703839421545e-002	5.107616e-001
2.116144687635831e-002	5.142260e-001
2.127444910850117e-002	5.205591e-001
2.138745134064403e-002	5.261470e-001
2.150045357278689e-002	5.309897e-001
2.161345580492975e-002	5.350871e-001
2.172645803707261e-002	5.384393e-001
2.183946026921547e-002	5.410462e-001
2.195246250135834e-002	5.429079e-001
2.216172589421549e-002	5.458061e-001
2.237098928707264e-002	5.473117e-001
2.258025267992979e-002	5.474247e-001
2.278951607278694e-002	5.461451e-001
2.299877946564409e-002	5.434729e-001
2.320804285850124e-002	5.394080e-001
2.341730625135839e-002	5.339506e-001
2.350519687635840e-002	5.311990e-001
2.359308750135840e-002	5.276913e-001
2.368097812635840e-002	5.234276e-001
2.376886875135841e-002	5.184078e-001
2.385675937635841e-002	5.126320e-001
2.394465000135841e-002	5.061001e-001
2.403254062635842e-002	4.988121e-001
2.407020803707270e-002	4.952243e-001
2.410787544778699e-002	4.911022e-001
2.414554285850128e-002	4.864458e-001
2.418321026921556e-002	4.812551e-001
2.422087767992985e-002	4.755301e-001
2.425854509064414e-002	4.692707e-001
2.429621250135843e-002	4.624770e-001
2.435480625135843e-002	4.494681e-001
2.438410312635843e-002	4.417716e-001
2.441340000135843e-002	4.330739e-001
2.444269687635843e-002	4.231821e-001
2.447199375135843e-002	4.118763e-001
2.450129062635843e-002	3.989251e-001
2.453058750135843e-002	3.841195e-001
2.455988437635844e-002	3.673254e-001
2.458918125135844e-002	3.485388e-001
2.461847812635844e-002	3.279128e-001
2.464777500135844e-002	3.057317e-001
2.467707187635844e-002	2.823407e-001
2.470636875135844e-002	2.580716e-001
2.473566562635844e-002	2.331957e-001
2.476496250135844e-002	2.079122e-001
2.479425937635844e-002	1.823568e-001
